Головной арт;Код;Номенклатура, Упаковка;Фасовка;Единица измерения;Цена розница, руб;Бренд;Картинка ;Цвет
;;;;;;;;
;00022;PRIMFIX / Примфикс - грунтовка для декоративных покрытий;0,8;л;499,10;SIMPLE;;
;00023;PRIMFIX  micro granitee / Примфикс майкрогрейн  - грунтовка для структурных декоративных покрытий;4;кг;799,02;SIMPLE;;
;w00007;BIBLOS PEARL / Библос Перл  - декоративное покрытие с фактурой мелкого песка;;;;SIMPLE;;
w00007;00007;;0,9;л;799,02;;;31101
w00007;00008;;0,9;л;799,02;;;31102
w00007;00009;;0,9;л;799,02;;;31103
w00007;00010;;0,9;л;799,02;;;31104
w00007;00011;;0,9;л;799,02;;;31105
w00007;00013;;0,9;л;799,02;;;31106
;w00001;SILK / Силк  - декоративное покрытие с эффектом шелка;;;;SIMPLE;;
w00001;00001;;0,9;л;999,12;;;4410
w00001;00002;;0,9;л;999,12;;;4410
w00001;00003;;0,9;л;999,12;;;4410
w00001;00004;;0,9;л;999,12;;;4410
w00001;00005;;0,9;л;999,12;;;4410
w00001;00006;;0,9;л;999,12;;;4410
;w00026;TEXTURE / Текстуре  - интерьерное декоративное покрытие;;;;SIMPLE;;
w00026;00026;;18;кг;1 690,04;;;
w00026;00025;;8;кг;849,16;;;
;w00015;POLISHED PATINA / Полишд Патин - декоративная лессирующая краска;;;;;;
w00015;00015;;0,8;л;999,12;SIMPLE;;3D PEARL
w00015;00016;;0,8;л;999,12;SIMPLE;;GOLD
w00015;00017;;0,8;л;999,12;SIMPLE;;PEARL
w00015;00020;;0,8;л;999,12;SIMPLE;;SILVER
;w615-002;LOUNGE 3 / Лаунж 3 – краска водно-дисперсионная для стен и обоев;;;;SIMPLE;;
w615-002;615-002;;2,25;л;469,20;;;
w615-002;615-001;;9;л;1 499,14;;;
;w615-006;LOUNGE 3 / Лаунж 7 – краска для кухонь и ванных комнат;;;;SIMPLE;;
w615-006;615-006;;2,25;л;669,30;;;
w615-006;615-005;;9;л;2 199,26;;;
;w615-014;FUSION / Фьюжен база– краска водно-дисперсионная для фасадов;;;;SIMPLE;;
w615-014;615-014;;2,25;л;559,36;;;
w615-014;615-013;;9;л;1 799,06;;;
;w615-010;AMBIENT / Эмбиент – краска водно-дисперсионная для потолка, стен и лепнины;;;;SIMPLE;;
w615-010;615-010;;2,25;л;349,14;;;
w615-010;615-009;;9;л;1 199,22;;;
;w096-003; Uniprim (G-1) Vincent -грунтовка акрилатная универсальная;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/936/936b8bf559f738749633c032093f6b18.png;
w096-003;096-003;;2,7;л;550,16;;;
w096-003;096-036;;9;л;1 600,34;;;
;w096-009;Structura Fix (G-2) Vincent - грунтовка акрилатная под структурные покрытия;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/dde/ddebe0d9e2bb055f66e9b99c6b48612f.png;
w096-009;096-009;;16;кг;2 100,36;;;
w096-009;096-011;;4;кг;720,36;;;
;w096-062;Imprimfix (G-3) Vincent - грунтовка акрилатная непигментированная глубокого проникновения;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/aca/aca5da13008bdb7c827388aa3c5e4386.png;
w096-062;096-062;;2,5;л;300,38;;;
w096-062;096-040;;9;л;790,28;;;
;w096-063;Protec Prim Universale (G-5) Vincent / Протект прим универсал-грунтовка акрилатная непигментированная (для внутр. и наружных работ);;;;VINCENT;http://www.lacos.ru/upload/wm_cache/9b3/9b34309bf6484e3bac40b3e37432b65a.png;
w096-063;096-063;;2,5;л;260,36;;;
w096-063;096-044;;9;л;675,28;;;
;096-067;Isolton / Изольту - грунтовка воднодисперсионная Винсент;0,48;кг;399,28;VINCENT;https://0.cs-ellpic.yandex.net/market_RX1oIfHyeDtUv3LrP5MjgA_600x800.jpg;
;w096-065;Toufon / Туфон - грунтовка антикоррозионная воднодисперсионная ;;;;VINCENT;http://www.baucenter.ru/preview/r/612x612/c/612x612/upload/pictures/35/351002140-0.jpg;
w096-065;096-065;;0,47;кг;399,28;;;
w096-065;096-068;;1,14;кг;869,40;;;
w096-065;096-070;;3,2;кг;2 249,40;;;
;w097-014;Corrostop Primaire (G-4) / Корростоп Примэр - грунтовка антикоррозийная;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/a37/a37333935694ed46ca20d0feb74da280.jpg;
w097-014;097-014;;0,8;л;830,30;;;
w097-014;097-029;;2,25;л;2 250,32;;;
w097-014;097-004;W - 1  - растворитель Уайт-спирит марки Exxsol D40;1;л;330,28;VINCENT;http://www.lacos.ru/upload/wm_cache/338/338102851a7ac4ce95fbcd055cbdc5ac.png;
;w089-020;Decorum Multieffet (D-2) / Декорум Мультиэффект -  декоративное покрытие;;;;VINCENT;http://akson.ru/upload/resize_cache/ctpi/eb/eba196fcd305897087d3f5a5b764b14e/1000x1000.jpg;
w089-020;089-020;;18;кг;1 690,04;;;
w089-020;089-022;;8;кг;849,16;;;
w089-020;089-024;Plastique / Пластик - декоративное покрытие для стен и потолков Винсент;5,3;кг;2 699,28;VINCENT;http://titanst.ru/upload/iblock/918/9186e1b0b3d02ab532a3ef4d7de0cf1e.jpeg;
;w098-003;Brilliance Blanc (I-2) / Брийанс Блан-акрилатная матовая краска для потолков и стен сухих помещений;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/53b/53b52e52520e99ae2839e30a959af366.png;
w098-003;098-003;;0,8;л;290,26;;;
w098-003;092-137;;2,25;л;615,02;;;
w098-003;098-001;;9;л;2 240,20;;;
;w098-008;Interieur Mat 3 (I-3) / Ентерьёр Мат 3 - акрилатная матовая краска для внутренних работ;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/d7a/d7a16c6f5d515a14de4aca9efbef3984.png;
w098-008;098-008;;0,8;л;350,06;;;
w098-008;092-139;;2,25;л;720,36;;;
;w098-006;Interioeur Aqua (I-7) база C / Ентерьёр аква 7 -акрилатная полуматовая краска для частой и влажной уборки;;;;;http://www.lacos.ru/upload/wm_cache/26f/26f14e76e92db82d0e11f373cda6b943.png;
w098-006;098-006;;9;л;2 490,44;VINCENT;;
w098-006;092-118;;0,7;л;312,80;;;
w098-006;092-142;;2;л;650,44;;;
w098-006;092-112;;8,1;л;2 350,14;;;
;w092-104;Interioeur Aqua (I-7)  / Ентерьёр аква 7 - акрилатная полуматовая краска для частой и влажной уборки ;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/26f/26f14e76e92db82d0e11f373cda6b943.png;
w092-104;092-104;;0,8;л;370,30;VINCENT;;
w092-104;092-140;;2,25;л;850,08;VINCENT;;
w092-104;092-100;;9;л;2 990,00;VINCENT;;
;w095-017;Сonformat / Конформат  - краска акрилатная матовая для внутренних работ;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/887/8877864cc8fdfba96c2c49519ada8543.png;
w095-017;095-017;;0,8;л;390,08;;;
w095-017;095-015;;2,7;л;990,38;;;
w095-017;095-013;;9;л;3 490,02;;;
;w095-027;Сonformat / Конформат база С - краска акрилатная матовая для внутренних работ;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/887/8877864cc8fdfba96c2c49519ada8543.png;
w095-027;095-027;;0,7;л;320,16;;;
w095-027;092-202;;2;л;799,02;;;
w095-027;095-023;;8,1;л;2 750,34;;;
;w095-003;Extramat / Экстрамат - краска акрилатная шелковисто-мат. для стен, потолков помещ. с пов. влажн.;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/f5e/f5e76fd1ea0c1b553ab22fbce98ed944.png;
w095-003;095-003;;0,8;л;450,34;;;
w095-003;095-002;;2,7;л;1 390,12;;;
w095-003;095-001;;9;л;3 800,06;;;
;w095-011;Extramat / Экстрамат база С  - краска акрилатная шелковисто-мат. для стен, потолков помещ. с пов. влажн.;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/f5e/f5e76fd1ea0c1b553ab22fbce98ed944.png;
w095-011;095-011;;0,7;л;350,06;;;
w095-011;092-205;;2;л;860,20;;;
w095-011;095-009;;8,1;л;2 990,00;;;
;w095-032;Extrasatin / Экстрасатин база  - краска акрилатная полуглянц. для стен, потолков помещений с пов. влажн.;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/ad4/ad4a83c55a49acb81c754782ee929b22.png;
w095-032;095-032;;0,8;л;465,06;;;
w095-032;095-031;;2,7;л;1 450,38;;;
w095-032;095-030;;9;л;3 850,20;;;
;w093-003;Royal mat А-1 /  Роял мат - алкидная матовая краска для внутренних работ;;;;VINCENT;http://www.alt-x.ru/images/ed_catalog/pics/1566_s.jpg;
w093-003;093-003;;1,4;кг;550,16;;;
w093-003;093-001;;15;кг;4 950,06;;;
w093-003;093-005;;3,5;кг;1 270,06;;;
;w105-022;Lasure Color / Лазурь колор  - краска алкидная для защиты и декор отделки деревянных изделий;;;;VINCENT;http://www.ipaintshop.ru/pictures/catalog/catalog_images___1____901_800x689.png;
w105-022;105-022;;0,9;л;330,28;;;
w105-022;105-021;;2,7;л;890,10;;;
w105-022;105-020;;9;л;2 700,20;;;
;w105-028;Maison еn Bois база Pearl / Мезон Буа - краска-лазурь водно-дисперс. для защиты, декор. отделки дер;;;;VINCENT;http://vd68.ru/wp-content/uploads/2015/01/Maison_en_Bois.jpg;
w105-028;105-028;;0,9;л;613,18;;;
w105-028;105-027;;2,7;л;1 750,30;;;
w105-028;105-026;;9;л;4 875,54;;;
;w105-012;Maison еn Bois / Мэзон ан буа  - краска-лазурь водно-дисперсионная для защиты, декор. отделки дер. изд-й;;;;VINCENT;http://vd68.ru/wp-content/uploads/2015/01/Maison_en_Bois.jpg;
w105-012;105-012;;0,9;л;560,28;;;
w105-012;105-038;;2;л;1 190,02;;;
w105-012;105-009;;9;л;4 250,40;;;
;w105-017;Maison еn Bois / Мэзон ан буа база C - краска-лазурь водно-дисперсионная для защиты, декор. отделки дер. изд-й;;;;VINCENT;http://vd68.ru/wp-content/uploads/2015/01/Maison_en_Bois.jpg;
w105-017;105-017;;0,9;л;460,00;;;
w105-017;105-040;;2;л;1 040,06;;;
w105-017;105-016;;2,7;л;1 360,22;;;
w105-017;105-014;;9;л;3 790,40;;;
;w105-035;Protection Terrase / Протексьон Террас - антибактериальное водоотталк. масло для полов, террас и термодерева;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/012/012772d291fda8c021bcf93a88437796.png;
w105-035;105-035;;0,9;л;500,02;;;
w105-035;105-036;;2,25;л;1 200,14;;;
;w105-003;Sous- Couche Bois / Су куш буа - грунтовка для защиты деревянных изделий ;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/2ae/2ae0764f2b2144b341d4e2973b61d345.png;
w105-003;105-003;;0,9;л;400,20;;;
w105-003;105-002;;2,7;л;1 150,00;;;
w105-003;105-001;;9;л;3 200,22;;;
;w105-034;Top Lasure Color / Топ лазурь колор- краска алкидная для защиты и декор. отделки деревянных изделий ;;;;VINCENT;http://titanst.ru/upload/iblock/ed9/ed967c00bed959ca89777d67de01fb36.jpeg;
w105-034;105-034;;0,9;л;480,24;;;
w105-034;105-032;;2,7;л;1 320,20;;;
w105-034;105-030;;9;л;4 000,16;;;
;090-006;Matiere Crepi S-1 / Матиар крепи структурное покрытие для отделки фасадов зданий и стен внутри помещений, шт;18;кг;1 990,42;VINCENT;https://0.cs-ellpic.yandex.net/market_rX66-k98rphQyXwtFE1kmw_600x800.jpg;
;090-010;Matiere Grese S-2 / Матиар грезе структурное покрытие для отделки фасадов зданий и стен внутри помещений, шт;18;кг;1 690,04;VINCENT;http://akson.ru/upload/resize_cache/ctpi/b6/b6bd8718fe55cdaace483d39b6498841/1000x1000.jpg;
;090-012;Matiere Taloche S-3 / Матиар талоше - структурное покрытие для отделки фасадов зданий и стен внутри помещений;18;кг;1 690,04;VINCENT;http://akson.ru/upload/resize_cache/ctpi/60/60315a0f378d4339a9aa8dc987370f8b/1000x1000.jpg;
;w091-006;Muralith F-1 / Муралит - плиолитовая фасадная матовая краска;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/5fc/5fc6eabf10b04c0bd04468b36b978da7.png;
w091-006;091-006;;0,8;л;590,18;;;
w091-006;091-003;;9;л;5 500,22;;;
w091-006;091-004;;2,7;л;1 815,16;;;
;w091-018;Muralith F-1 база C / Муралит - плиолитовая фасадная матовая краска;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/5fc/5fc6eabf10b04c0bd04468b36b978da7.png;
w091-018;091-018;;0,7;л;490,36;;;
w091-018;091-015;;8,1;л;4 500,18;;;
;w091-024;Fa?ade Acrylique F-2 / Фасад акрилик - акрилатная фасадная матовая краска;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/4ec/4ecea051be3faa2d54dabf5258473765.png;
w091-024;091-024;;0,8;л;320,16;;;
w091-024;091-046;;2,25;л;800,40;;;
w091-024;091-021;;9;л;2 750,34;;;
;w091-036;Fa?ade Acrylique F-2 база С /  Фасад акрилик  - акрилатная фасадная матовая краска;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/4ec/4ecea051be3faa2d54dabf5258473765.png;
w091-036;091-036;;0,7;л;290,26;;;
w091-036;091-048;;2;л;750,26;;;
w091-036;091-033;;8,1;л;2 290,34;;;
;w090-014;Siloprim Polyflui / Силоприм Полифлюид - силан-силоксановый гидрофобизатор для фасада и цоколя из нат.  иск. Камня;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/fb9/fb9174bf0b0e8811078858f66761fed4.png;
w090-014;090-014;;1;л;650,44;;;
w090-014;090-016;;5;л;2 250,32;;;
;w094-011;Royal satin А-2 / Роял сатин  - алкидная полуматовая краска  для внутренних и наружных работ;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/59c/59c47726a80fffa2592cf72a413ba6da.png;
w094-011;094-011;;0,8;л;540,04;;;
w094-011;094-033;;2,25;л;1 330,32;;;
w094-011;094-008;;9;л;5 080,24;;;
;w094-016;Royal satin А-2 / Роял сатин база С- алкидная полуматовая краска  для внутренних и наружных работ;;;;VINCENT;http://www.lacos.ru/upload/wm_cache/59c/59c47726a80fffa2592cf72a413ba6da.png;
w094-016;094-016;;8,1;л;3 890,22;;;
w094-016;094-035;;2;л;1 040,06;;;
;404-121;Vincent Decor  Decorum Dune / Декорум Дюн база Брийанс - декоративное покрытие Винсент Декор, шт;2,5;л;3 000,12;VINCENT DECOR;;
;103-092;Vincent Decor Decorum Dune (Base Classique) / Декорум Дюн база Классик- декоративное покрытие, шт;2,5;л;2 359,34;VINCENT DECOR;;
;w103-093;Vincent Decor Decorum Dune base Perle / Декорум Дюн база Перль - декоративное покрытие;;;;VINCENT DECOR;;
w103-093;103-093;;2,5;л;2 349,22;;;
w103-093;404-116;;6,5;л;5 899,04;;;
;103-020;Vincent Decor Decorum Stucco / Декорум Штукко (4 кг) - минеральная венецианская штукатурка, шт;;кг;3 540,62;VINCENT DECOR;;
;w103-104;Vincent Decor Decorum Stucco multieffet base Perle / Декорум Штукко мультиэффект  База Перль - декоративное покрытие;;;;VINCENT DECOR;;
w103-104;103-104;;2,5;л;3 924,26;;;
w103-104;404-114;;6,5;л;8 100,14;;;
;w103-106;Vincent Decor Decorum Stucco multieffet Classique / Декорум Штукко мультиэффект Классик  - декоративное покрытие;;;;VINCENT DECOR;;
w103-106;103-106;;2,5;л;2 269,18;;;
w103-106;103-108;;6,5;л;4 699,36;;;
w103-106;103-110;;9;л;5 299,20;;;
;103-094;Vincent Decor Coraline Roche / Коралин Рош - мультиколор. покрытие с вкраплением белых частиц (Н.);;л;2 869,02;VINCENT DECOR;;
;103-112;Vincent Decor Coraline Roche  base Perle / Коралин Рош база Перль - мультиколор. покрытие с вкраплением белых частиц;;л;2 969,30;VINCENT DECOR;;
;404-122;Vincent Decor Peinture Craquelure / Пентюр Кракелюр база А - краска Винсент Декор;;л;1 908,54;VINCENT DECOR;;
;w103-079;Vincent Decor  Soie Brillante / Суа брийант - декоративное покрытие;;;;VINCENT DECOR;;
w103-079;103-079;;0,8;л;1 620,12;;;
w103-079;103-078;;2,5;л;4 536,52;;;
w103-079;103-077;;6,5;л;10 401,06;;;
;w404-119;Vincent Decor Soie Royal / Суа Руаяль - декоративное покрытие ;;;;VINCENT DECOR;;
w404-119;404-119;;0,8;л;1 668,42;;;
w404-119;404-118;;2,5;л;4 740,30;;;
w404-119;404-125;;6,5;л;11 522,54;;;
;w406-021;Vincent Decor Decorum dune base perle  / Декорум Дюн база Перль - декоративное покрытие;;;;VINCENT DECOR;;
w406-021;406-021;;0,9;л;799,02;;;31101
w406-021;406-022;;0,9;л;799,02;;;31102
w406-021;406-023;;0,9;л;799,02;;;31103
w406-021;406-024;;0,9;л;799,02;;;31104
w406-021;406-025;;0,9;л;799,02;;;31105
w406-021;406-026;;0,9;л;799,02;;;31106
;w406-001;Vincent Decor Soie brilliante Lisse / Суа брийант база Лисс  - декоративная краска;;;;VINCENT DECOR;;
w406-001;406-001;;0,9;л;999,12;;;44101
w406-001;406-002;;0,9;л;999,12;;;44102
w406-001;406-003;;0,9;л;999,12;;;44103
w406-001;406-004;;0,9;л;999,12;;;44104
w406-001;406-005;;0,9;л;999,12;;;44105
w406-001;406-006;;0,9;л;999,12;;;44106
;w103-278;Vincent D?cor Sous-couche / Су-куш Vincent Decor - грунтовка;;;;VINCENT DECOR;;
w103-278;103-278;;0,8;л;499,10;;;
w103-278;103-072;;2,5;л;1 188,64;;;
w103-278;103-073;;6,5;л;2 868,56;;;
;w103-075;Vincent D?cor Sous-couche micro granitee / Су-куш микро гранит Vincent Decor - пигментированная  микро грунтовка;;;;VINCENT DECOR;;
w103-075;103-075;;10;кг;3 761,42;;;
w103-075;103-076;;4;кг;1 625,18;;;
;W103-065;Vincent Decor Decorum Vernis / Декорум Вернис - защитный лак (глянцевый);;;;;;
W103-065;103-065;;0,8;л;768,66;VINCENT DECOR;;
;w103-068;Vincent Decor Decorum Vernis / Декорум Вернис - защитный лак (полуматовый);;;;;;
w103-068;103-068;;0,8;л;804,54;VINCENT DECOR;;
W103-065;103-066;;2,5;л;1 992,26;VINCENT DECOR;;
w103-068;103-069;;2,5;л;2 100,36;VINCENT DECOR;;
;103-122;Vincent Decor Decorum Vernis / Декорум Вернис база Металлизе  - защитный лак, шт;0,8;л;1 437,96;VINCENT DECOR;;
;103-123;Vincent Decor Decorum Vernis / Декорум Вернис Кракелюр база Классик - лак для внутренних работ;2,5;л;2 388,78;VINCENT DECOR;;
;w103-100;Decorum Vernis Craquelure / Декорум Вернис Кракелюр ВД - лак для придания эффекта старых трещин;;;;VINCENT DECOR;;
w103-100;103-100;;0,8;л;1 392,42;;;
w103-100;103-102;;2,5;л;3 528,66;;;
;103-071;Vincent Decor DECORUM LUSTRANT / Декорум Люстрант - защитный лак;0,8;л;924,14;VINCENT DECOR;;
;w103-016;Vincent Decor Cire Deco / Сир Деко  V.D.- краска матовая лессирующая;;;;;;
w103-016;103-016;;0,8;л;876,30;VINCENT DECOR;;
w103-016;103-017;;2,5;л;2 341,86;VINCENT DECOR;;
w103-016;103-018;;6,5;л;5 494,24;VINCENT DECOR;;
;103-120;Vincent Decor Cire Deco / Сир Деко б. Металлизе 3 D Перль  V.D.- краска лессирующая декоративная, ;0,8;л;999,12;VINCENT DECOR;;
;103-116;Vincent Decor Cire Deco / Сир Деко б. Металлизе Золото  V.D.- краска лессирующая декоративная;0,8;л;999,12;VINCENT DECOR;;
;103-118;Vincent Decor Cire Deco / Сир Деко б. Металлизе Перль  V.D.- краска лессирующая декоративная;0,8;л;999,12;VINCENT DECOR;;
;103-121;Vincent Decor Cire Deco / Сир Деко б. Металлизе Силвер V.D. - краска лессирующ декоративная;0,8;л;999,12;VINCENT DECOR;;
;103-114;Vincent Decor Cire Deco / Сир Деко база Металлизе Бронза V.D.- краска лессирующая декоративная;0,8;л;999,12;VINCENT DECOR;;
;w103-030;Vincent Decor Luminance Colori / Люминанс Колори  - мультиколорное декоративное покрытие;;;;VINCENT DECOR;;
w103-030;103-030;;3;кг;2 064,48;;;
w103-030;103-032;;8;кг;4 560,44;;;
;w103-013;Vincent Decor Decorum Andalousie / Декорум Андалусия - структурное декоративное покрытие;;;;VINCENT DECOR;;
w103-013;103-013;;10;кг;2 880,52;;;
w103-013;103-012;;4,5;кг;1 512,48;;;
;w103-011;Vincent D?cor Decorum Village / Декорум Вилляж - структурное декоративное покрытие;;;;VINCENT DECOR;;
w103-011;103-011;;10;кг;1 990,42;;;
w103-011;103-010;;4,5;кг;1 500,52;;;
;w103-003;Vincent D?cor Decorum Grese Micro /  Декорум Грезе микро - структурное декоративное покрытие;;;;VINCENT DECOR;;
w103-003;103-003;;12;кг;2 892,48;;;
w103-003;103-002;;5;кг;1 536,40;;;
;w103-007;Vincent Decor Decorum Provence / Декорум Прованс - структурное декоративное покрытие;;;;VINCENT DECOR;;
w103-007;103-007;;10;кг;2 400,28;;;
w103-007;103-006;;5;кг;1 782,50;;;
;w103-009;Vincent Decor Decorum Rustique / Декорум Рустиr - структурное декоративное покрытие;;;;VINCENT DECOR;;
w103-009;103-009;;10;кг;1 750,30;;;
w103-009;103-008;;5;кг;1 368,50;;;
;w103-091;Vincent Decor Decorum Travertino / Декорум Травертино ВД - декоративное структурное покрытие;;;;VINCENT DECOR;;
w103-091;103-091;;12;кг;3 552,12;;;
w103-091;103-090;;5;кг;1 776,52;;;
